url,state,constituency,osn,candidate_name,total_votes,vote_percent,evm_votes,party,postal_votes
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1,AYAN MANDAL,1721,0.83,1717,All India Trinamool Congress,4
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2,KULDEEP RAI SHARMA,95308,45.98,95249,Indian National Congress,59
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,3,PRAKASH MINJ,2486,1.2,2478,Bahujan Samaj Party,8
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,4,VISHAL JOLLY,93901,45.3,93772,Bharatiya Janata Party,129
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,5,SANJAY MESHACK,2839,1.37,2837,Aam Aadmi Party,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,6,C G SAJI KUMAR,212,0.1,212,All India Hindustan Congress Party,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,7,K KALIMUTHU,275,0.13,269,Independent,6
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,8,V V KHALID,306,0.15,305,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,9,GOUR CHANDRA MAJUMDER,221,0.11,221,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,10,PARITOSH KUMAR HALDAR,5341,2.58,5339,Independent,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,11,MINATI BISWAS,618,0.3,615,Independent,3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,12,C U RASHEED,273,0.13,272,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,13,K VENKAT RAM BABU,914,0.44,914,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,14,S SUDERSHAN RAO,475,0.23,475,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,15,HENRY,994,0.48,994,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseU011.htm?ac=1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,16,NOTA,1412,0.68,1411,None of the Above,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,1,AYYAJI VEMA MANEPALLI,11516,0.94,11358,Bharatiya Janata Party,158
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,2,GANTI HARISH MADHUR (BALAYOGI),445347,36.18,442774,Telugu Desam,2573
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,3,CHINTA ANURADHA,485313,39.43,481358,Yuvajana Sramika Rythu Congress Party,3955
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,4,JANGA GOUTHAM,7878,0.64,7840,Indian National Congress,38
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,5,CHELLE RAJANI,1228,0.1,1228,Jana Jagruti Party,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,6,PANTHAGADA VIJAYA CHAKRAVARTHY,1801,0.15,1801,Republican Party of India (Khobragade),0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,7,MURALIKRISHNA KANDERI,1802,0.15,1801,India Praja Bandhu Party,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,8,MORTHA SIVA RAMA KRISHNA,1950,0.16,1946,Pyramid Party of India,4
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,9,D M R SEKHAR,254848,20.7,253271,Janasena Party,1577
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,10,REVU SUDHAKAR,2771,0.23,2770,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS017.htm?ac=7,Andhra Pradesh,Amalapuram,11,NOTA,16449,1.34,16408,None of the Above,41
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,1,ADARI ANAND KUMAR,497034,40.13,495381,Telugu Desam,1653
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,2,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),13276,1.07,12888,Bharatiya Janata Party,388
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,3,Dr.Beesetti Venkata Satyavathi,586226,47.33,583210,Yuvajana Sramika Rythu Congress Party,3016
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,4,Ruthala Srirama Murthy,10121,0.82,10072,Indian National Congress,49
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,5,P.S.AJAY KUMAR,2716,0.22,2708,Communist Party of India  (Marxist-Leninist)  (Liberation),8
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,6,K B SWAROOP,1621,0.13,1615,Jana Jagruti Party,6
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,7,Chintala Partha Sarathi,82588,6.67,82126,Janasena Party,462
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,8,Taadi Veera Jagadeeshwari,1803,0.15,1801,Pyramid Party of India,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,9,Vadlamuri Krishna Swaroop,4444,0.36,4443,Dalita Bahujana Party,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,10,Appala Naidu Tummagunta,3765,0.3,3760,Independent,5
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS015.htm?ac=5,Andhra Pradesh,Anakapalli,11,NOTA,34897,2.82,34877,None of the Above,20
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS0119.htm?ac=19,Andhra Pradesh,Anantapur,1,D.JAGADEESH,20294,1.51,20192,Communist Party of India,102
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS0119.htm?ac=19,Andhra Pradesh,Anantapur,2,TALARI RANGAIAH,695208,51.79,690901,Yuvajana Sramika Rythu Congress Party,4307
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS0119.htm?ac=19,Andhra Pradesh,Anantapur,3,J.C. PAVAN REDDY,553780,41.26,550597,Telugu Desam,3183
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS0119.htm?ac=19,Andhra Pradesh,Anantapur,4,K.RAJIV REDDY,30079,2.24,29994,Indian National Congress,85
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS0119.htm?ac=19,Andhra Pradesh,Anantapur,5,HAMSA DEVINENI,7604,0.57,7440,Bharatiya Janata Party,164
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS0119.htm?ac=19,Andhra Pradesh,Anantapur,6,GADIDAMA RANGANAYAKULU,728,0.05,728,Vishwa Jana Party,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS0119.htm?ac=19,Andhra Pradesh,Anantapur,7,P.RADHA KRISHNA,1220,0.09,1219,Radical Democrats,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS0119.htm?ac=19,Andhra Pradesh,Anantapur,8,G. LALITHA,899,0.07,890,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9
